#name;#name;ВсОШ
Всероссийская олимпиада школьников по английскому языку;английский язык;0
Всероссийская олимпиада школьников по астрономии;астрономия;0
Всероссийская олимпиада школьников по биологии;биология;0
Всероссийская олимпиада школьников по географии;география;0
Всероссийская олимпиада школьников по информатике;информатика;0
Всероссийская олимпиада школьников по искусству;исскуство;0
Всероссийская олимпиада школьников по испанскому языку;испанский язык;0
Всероссийская олимпиада школьников по истории;история;0
Всероссийская олимпиада школьников по итальянскому языку;итальянский язык;0
Всероссийская олимпиада школьников по китайскому языку;китайский язык;0
Всероссийская олимпиада школьников по литературе;литература;0
Всероссийская олимпиада школьников по математике;математика;0
Всероссийская олимпиада школьников по немецкому языку;немецкий язык;0
Всероссийская олимпиада школьников по ОБЖ;ОБЖ;0
Всероссийская олимпиада школьников по обществознанию;обществознание;0
Всероссийская олимпиада школьников по праву;право;0
Всероссийская олимпиада школьников по русскому языку;русский язык;0
Всероссийская олимпиада школьников по технологии;техника, технология и техническое творчество;0
Всероссийская олимпиада школьников по технологии;культура дома, дизайн и технология;0
Всероссийская олимпиада школьников по технологии;робототехника;0
Всероссийская олимпиада школьников по технологии;информационная безопасность;0
Всероссийская олимпиада школьников по физике;физика;0
Всероссийская олимпиада школьников по физической культуре;физическая культура;0
Всероссийская олимпиада школьников по франзускому языку;французский язык;0
Всероссийская олимпиада школьников по химии;химия;0
Всероссийская олимпиада школьников по экологии;экология;0
Всероссийская олимпиада школьников по экономике;экономика;0
